scode	school	cscode	center	center_address	allocation	distance_km
27113	काठमाडौ वर्नहार्ट मा.वि., बल्खु	27319	GYANODAYA SECONDARY SCHOOL	BAFAL	200	0.3383387915491176
27113	काठमाडौ वर्नहार्ट मा.वि., बल्खु	27305	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	200	0.30646195891350836
27113	काठमाडौ वर्नहार्ट मा.वि., बल्खु	27311	SITAPAILA SECONDARY SCHOOL	SITAPAILA	200	0.8771965626631949
27113	काठमाडौ वर्नहार्ट मा.वि., बल्खु	27144	NEPALAYA SECONDARY SCHOOL	KALANKISTHAN	197	0.8009920851100071
27042	नेपाल काण्ठमण्डप मा.वि., कलंकी	27144	NEPALAYA SECONDARY SCHOOL	KALANKISTHAN	135	0.5908983820971804
27042	नेपाल काण्ठमण्डप मा.वि., कलंकी	27135	RICHMOND ACADEMY SECONDARY SCHOOL	KALANKI	200	0.8000750234458017
27042	नेपाल काण्ठमण्डप मा.वि., कलंकी	27319	GYANODAYA SECONDARY SCHOOL	BAFAL	200	0.38109356190271887
27042	नेपाल काण्ठमण्डप मा.वि., कलंकी	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	15	0.5005511112505767
27057	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27126	KNOWLEDGE AND WISDOM ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	200	0.3427606076657611
27057	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27117	NEPAL MEGHA COLLEGE	BABARMAHAL	200	0.385098162747161
27057	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27083	COLUMBUS SECONDARY SCHOOL	SHANKHAMUL	200	0.5520477714274894
27057	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27119	PREMIER SECONDARY SCHOOL	NAYABANESHWAR	200	0.6882396714237206
27057	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27081	SWAPNA BATIKA ACADEMY	BUDDHANAGAR	150	0.8479872136132628
27063	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27017	BINAYAK SUDHA NIKETAN SECONDARY SCHOOL	BANESHWAR	200	0.4671660125808557
27063	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27263	COLLEGE OF NATIONAL ACADEMIC SQUARE	KOTESHWOR	200	0.5677008904358555
27063	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27118	TRITON INTERNATIONAL SECONDARY SCHOOL	SUBDHANAGAR TINKUNE	200	0.36953738462771324
27063	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27064	HIMALAYA ENGLISH BOARDING SECONDARY SCHOOL	KOTESHWOR	200	0.45960212725593425
27063	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27257	GLACIER INTERNATIONAL SECONDARY SCHOOL	SHANTINAGAR	9	0.5868428709468924
27152	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27340	JANAPRABHAT SECONDARY SCHOOL	KALIMATI	200	0.22752138074924141
27152	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27006	HOLYVISION SECONDARY SCHOOL	TAHACHAL	200	0.5604411741030358
27152	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27043	JANAMAITRI MULTIPLE CAMPUS	KULESHWAR	147	0.6166688856708776
27319	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27095	EDMARK ACADEMY SECONDARY SCHOOL	KALANKI	200	0.5412203885675897
27319	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27447	JANAPATH SECONDARY SCHOOL	KALANKI	200	1.023356761237496
27319	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27080	CAPITAL HILL ACADEMY SECONDARY SCHOOL	TEKU	200	1.8654028858156995
27319	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27340	JANAPRABHAT SECONDARY SCHOOL	KALIMATI	42	0.9452478320946103
27003	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27243	SHANTI BIDHYAGRIHA SECONDARY SCHOOL	LAINCHAUR	200	0.040825090130492986
27003	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27086	MANMOHAN MEMORIAL COLLEGE	SORAKHUTTA	200	0.500053717668479
27003	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27018	WHITE FIELD SECONDARY SCHOOL	KHUSIBU	200	1.1180132834869108
27003	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27337	NEPAL YOUBAK SECONDARY SCHOOL	PAKANAJOL	200	0.6661798343226321
27003	नेशनल स्कूल अफ साइन्सेस मा.वि., लैनचौर	27208	MANASALU PUBLIC SECONDARY SCHOOL	NAYABAZAR	200	0.7150023599417773
