scode	lat	long
27101	27.7067463495	85.3188922809
27007	27.7038931952	85.3251961353
27045	27.7396600173	85.3254532539
27127	27.673541693	85.3449013829
27011	27.692876075	85.3121381404
27207	27.7430087863	85.3291130386
27050	27.7169584063	85.349928419
27003	27.7182081667	85.3140858448
27133	27.7002723554	85.340379903
27029	27.7037779185	85.340381525
27051	27.7079287488	85.3206852232
27172	27.6832523099	85.3362755709
27057	27.6913592848	85.3318487462
27156	27.7301931324	85.3543502402
27435	27.7226308489	85.3546439918
27063	27.6842548831	85.3474283227
27077	27.7127080965	85.3411835286
27113	27.7021743074	85.2833025109
27040	27.7422779423	85.3030774039
27017	27.6858822433	85.343107523
27119	27.6871652832	85.3369893846
27319	27.6993151813	85.2844782956
27439	27.6998847955	85.3395718268
27478	27.7189231503	85.3504369594
27022	27.7136039394	85.3447141827
27042	27.6982576253	85.2807963512
27152	27.6969156057	85.2952067175
27036	27.7148226374	85.3473946251
27246	27.6934917727	85.3211183674
27519	27.7205271118	85.3843563247
27104	27.7089050979	85.3264066917
27056	27.7149104332	85.3090078962
27117	27.6917366759	85.3279607809
27200	27.7262670076	85.3580879028
27163	27.7220316175	85.3870971558
27142	27.7225045031	85.3587102232
27205	27.7226396598	85.3797976404
27031	27.7429861159	85.306885241
27265	27.7567999395	85.3346555692
27138	27.678026744	85.2812728117
27230	27.6967497523	85.3698455316
27107	27.7103704415	85.2966023232
27298	27.7376304916	85.3268417116
27260	27.7366977776	85.3042339349
27118	27.6828280263	85.3440388862
27058	27.7018948588	85.2914367827
27408	27.7243394388	85.2996766386
27086	27.7186044477	85.3090255521
27124	27.7264134269	85.3163034804
27179	27.6760693002	85.3548051404
27204	27.7199301215	85.3498604232
27106	27.7280756123	85.3141633404
27076	27.6880283818	85.3504648962
27299	27.7262254367	85.3432209962
27064	27.6801460511	85.3469211975
27219	27.7356496106	85.3219993809
27027	27.6870835699	85.3485054182
27075	27.7185782667	85.3080246907
27188	27.6958541703	85.3374281962
27201	27.7609986912	85.351999752
27486	27.7205791961	85.3792070799
27095	27.6948178445	85.2823760577
27049	27.6951066148	85.33638301
27140	27.7409350689	85.3305027631
27174	27.7016414601	85.3216085809
27164	27.7308777903	85.3300599484
27020	27.7118041226	85.3252020714
27072	27.6890776205	85.3476766174
27151	27.736558765	85.3084589836
27268	27.7195914434	85.3605419041
27060	27.735087178	85.3177988745
27125	27.6773732534	85.2946577218
27257	27.6877320575	85.3429448113
27099	27.6952851309	85.3501741066
27479	27.7169751339	85.3722650521
27190	27.782309326	85.3579441092
27425	27.6805432932	85.3412325539
27187	27.6788321898	85.3417445417
27144	27.6953173978	85.2857957482
27366	27.729757496	85.3789260404
